Model DPs Scenarios Production_units Trading_timeslots Elapsed_time Number_of_variables Number_of_linear_constraints Number_of_SOS_constraints Number_of_quadratic_constraints Number_of_non-zero_coefficients_in_the_constraint_matrix Number_of_non-zero_quadratic_objective_terms Number_of_non-zero_terms_in_quadratic_constraints Number_of_integer_variables Number_of_binary_variables Number_of_variables_with_piecewise-linear_objective_functions. Model_name Model_sense_(minimization_or_maximization) Constant_offset_for_objective_function Objective_value_for_current_solution
75 10 70 1 3 7.7490925788879395 46200 43130 0 0 76390 0 0 0 0 0 itp -1 0.0 677502.7003719098
76 10 70 1 5 14.40026307106018 117600 88250 0 0 172930 0 0 0 0 0 itp -1 0.0 1039874.77357902
77 10 70 2 2 4.989516973495483 23800 27210 0 0 46650 0 0 0 0 0 itp -1 0.0 287274.9692638058
78 10 70 2 3 7.897397041320801 46900 43830 0 0 79890 0 0 0 0 0 itp -1 0.0 551128.9364297809
79 10 70 2 5 14.470367431640625 118300 88950 0 0 176430 0 0 0 0 0 itp -1 0.0 1041487.2429682036
80 10 70 3 2 4.937496900558472 24500 27910 0 0 50150 0 0 0 0 0 itp -1 0.0 302369.2439574251
81 10 70 3 3 7.7400736808776855 47600 44530 0 0 83390 0 0 0 0 0 itp -1 0.0 553780.5685694208
82 10 70 3 5 14.60863709449768 119000 89650 0 0 179930 0 0 0 0 0 itp -1 0.0 992622.3008568845
83 10 70 5 2 5.042753219604492 25900 29310 0 0 57150 0 0 0 0 0 itp -1 0.0 367270.16044017527
84 10 70 5 3 7.949259042739868 49000 45930 0 0 90390 0 0 0 0 0 itp -1 0.0 635043.6875525346
85 10 70 5 5 14.565776586532593 120400 91050 0 0 186930 0 0 0 0 0 itp -1 0.0 1057616.987892871
86 10 100 1 2 6.836283922195435 33000 37910 0 0 61720 0 0 0 0 0 itp -1 0.0 304628.03864860826
87 10 100 1 3 10.937952756881714 66000 61790 0 0 109480 0 0 0 0 0 itp -1 0.0 552630.6350267555
88 10 100 1 5 20.57400918006897 168000 126830 0 0 248560 0 0 0 0 0 itp -1 0.0 1051633.6398073977
89 10 100 2 2 6.87087607383728 34000 38910 0 0 66720 0 0 0 0 0 itp -1 0.0 365045.57836847473
90 10 100 2 3 10.904075860977173 67000 62790 0 0 114480 0 0 0 0 0 itp -1 0.0 476670.6012068821
91 10 100 2 5 20.52785015106201 169000 127830 0 0 253560 0 0 0 0 0 itp -1 0.0 1156502.2971769518
92 10 100 3 2 7.018333196640015 35000 39910 0 0 71720 0 0 0 0 0 itp -1 0.0 292114.51006320136
93 10 100 3 3 11.005036354064941 68000 63790 0 0 119480 0 0 0 0 0 itp -1 0.0 484288.2560316998
94 10 100 3 5 20.731810808181763 170000 128830 0 0 258560 0 0 0 0 0 itp -1 0.0 1141854.0616776613
95 10 100 5 2 7.091050863265991 37000 41910 0 0 81720 0 0 0 0 0 itp -1 0.0 370556.0520457788
96 10 100 5 3 11.09691596031189 70000 65790 0 0 129480 0 0 0 0 0 itp -1 0.0 526686.1829513878
97 10 100 5 5 20.779229402542114 172000 130830 0 0 268560 0 0 0 0 0 itp -1 0.0 1088148.3335373222
98 24 10 1 2 1.8786413669586182 7920 8904 0 0 14438 0 0 0 0 0 itp -1 0.0 848503.257041512
99 24 10 1 3 2.7570247650146484 15840 14232 0 0 25094 0 0 0 0 0 itp -1 0.0 1534863.6283224649
100 24 10 1 5 5.048943042755127 40320 28632 0 0 56054 0 0 0 0 0 itp -1 0.0 2765366.5097456765
101 24 10 2 2 1.875746726989746 8160 9144 0 0 15638 0 0 0 0 0 itp -1 0.0 985021.426756362
102 24 10 2 3 2.7795562744140625 16080 14472 0 0 26294 0 0 0 0 0 itp -1 0.0 1500843.5007166483
103 24 10 2 5 5.152862310409546 40560 28872 0 0 57254 0 0 0 0 0 itp -1 0.0 2916817.5894894777
104 24 10 3 2 1.8723275661468506 8400 9384 0 0 16838 0 0 0 0 0 itp -1 0.0 880232.1718034819
105 24 10 3 3 2.886734962463379 16320 14712 0 0 27494 0 0 0 0 0 itp -1 0.0 1535967.9308496157
106 24 10 3 5 5.092266798019409 40800 29112 0 0 58454 0 0 0 0 0 itp -1 0.0 2841039.610665018
107 24 10 5 2 1.9442017078399658 8880 9864 0 0 19238 0 0 0 0 0 itp -1 0.0 874566.5204763942
108 24 10 5 3 3.087172269821167 16800 15192 0 0 29894 0 0 0 0 0 itp -1 0.0 1551037.9897670825
109 24 10 5 5 5.364628791809082 41280 29592 0 0 60854 0 0 0 0 0 itp -1 0.0 2938486.361922947
110 24 40 1 2 6.653153419494629 31680 36264 0 0 59048 0 0 0 0 0 itp -1 0.0 916589.3744969422
111 24 40 1 3 10.539659023284912 63360 59016 0 0 104552 0 0 0 0 0 itp -1 0.0 1409598.9095740844
112 24 40 1 5 19.58897066116333 161280 120072 0 0 235304 0 0 0 0 0 itp -1 0.0 2781373.605025883
113 24 40 2 2 6.689866065979004 32640 37224 0 0 63848 0 0 0 0 0 itp -1 0.0 784102.3882163692
114 24 40 2 3 10.492191791534424 64320 59976 0 0 109352 0 0 0 0 0 itp -1 0.0 1342557.4187215646
115 24 40 2 5 19.85281777381897 162240 121032 0 0 240104 0 0 0 0 0 itp -1 0.0 2699806.765905397
116 24 40 3 2 6.684710264205933 33600 38184 0 0 68648 0 0 0 0 0 itp -1 0.0 837621.3605997474
117 24 40 3 3 10.601601123809814 65280 60936 0 0 114152 0 0 0 0 0 itp -1 0.0 1308129.1674378482
118 24 40 3 5 19.696472883224487 163200 121992 0 0 244904 0 0 0 0 0 itp -1 0.0 2632989.464366123
119 24 40 5 2 6.723471641540527 35520 40104 0 0 78248 0 0 0 0 0 itp -1 0.0 754165.2998346516
120 24 40 5 3 10.698255777359009 67200 62856 0 0 123752 0 0 0 0 0 itp -1 0.0 1482473.9510258248
121 24 40 5 5 20.008811473846436 165120 123912 0 0 254504 0 0 0 0 0 itp -1 0.0 2601533.1007732884
122 24 70 1 2 11.558682918548584 55440 63624 0 0 103658 0 0 0 0 0 itp -1 0.0 809473.95480198
123 24 70 1 3 18.03673553466797 110880 103512 0 0 183434 0 0 0 0 0 itp -1 0.0 1293864.2499794473
124 24 70 1 5 34.47342348098755 282240 211800 0 0 415130 0 0 0 0 0 itp -1 0.0 2543806.6644610735
125 24 70 2 2 11.496022462844849 57120 65304 0 0 112058 0 0 0 0 0 itp -1 0.0 868709.3494636404
126 24 70 2 3 18.405802011489868 112560 105192 0 0 191834 0 0 0 0 0 itp -1 0.0 1434029.8664783358
127 24 70 2 5 34.441834688186646 283920 213480 0 0 423530 0 0 0 0 0 itp -1 0.0 2642322.4239423377
128 24 70 3 2 11.451815605163574 58800 66984 0 0 120458 0 0 0 0 0 itp -1 0.0 757430.1839916249
129 24 70 3 3 18.275779008865356 114240 106872 0 0 200234 0 0 0 0 0 itp -1 0.0 1444459.7667026536
130 24 70 3 5 34.74163579940796 285600 215160 0 0 431930 0 0 0 0 0 itp -1 0.0 2705815.3084395095
131 24 70 5 2 11.822404384613037 62160 70344 0 0 137258 0 0 0 0 0 itp -1 0.0 817539.0822375213
132 24 70 5 3 18.437387466430664 117600 110232 0 0 217034 0 0 0 0 0 itp -1 0.0 1508425.58917472
133 24 70 5 5 35.32040286064148 288960 218520 0 0 448730 0 0 0 0 0 itp -1 0.0 2533665.0193518135
134 24 100 1 2 16.15436029434204 79200 90984 0 0 148268 0 0 0 0 0 itp -1 0.0 821332.2392256008
135 24 100 1 3 25.865957021713257 158400 148296 0 0 262892 0 0 0 0 0 itp -1 0.0 1366548.9277733031
136 24 100 1 5 49.24646759033203 403200 304392 0 0 596684 0 0 0 0 0 itp -1 0.0 2765947.467845207
137 24 100 2 2 16.15089988708496 81600 93384 0 0 160268 0 0 0 0 0 itp -1 0.0 786486.4303584306
138 24 100 2 3 25.94398331642151 160800 150696 0 0 274892 0 0 0 0 0 itp -1 0.0 1379406.868747534
139 24 100 2 5 49.20395565032959 405600 306792 0 0 608684 0 0 0 0 0 itp -1 0.0 2777355.6655228497
140 24 100 3 2 16.51020836830139 84000 95784 0 0 172268 0 0 0 0 0 itp -1 0.0 862311.5193420205
141 24 100 3 3 26.07752513885498 163200 153096 0 0 286892 0 0 0 0 0 itp -1 0.0 1352439.357480292
142 24 100 3 5 49.039092779159546 408000 309192 0 0 620684 0 0 0 0 0 itp -1 0.0 2603225.068889096
143 24 100 5 2 16.736206531524658 88800 100584 0 0 196268 0 0 0 0 0 itp -1 0.0 902607.5296106295
144 24 100 5 3 26.622547388076782 168000 157896 0 0 310892 0 0 0 0 0 itp -1 0.0 1314469.8203160977
145 24 100 5 5 49.595502614974976 412800 313992 0 0 644684 0 0 0 0 0 itp -1 0.0 2590049.8899988397
